ï»¿ï»¿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
spotify:track:72xvRETEsd5hS1RfduciRi,Let Me Hold You (Turn Me On),"Cheat Codes, Dante Klein",Let Me Hold You (Turn Me On),1,1,162425,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:4tRLfSHpbjlIjV97RPWr9Y,Sex,"Cheat Codes, Kris Kross Amsterdam",Sex,1,1,228361,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:7nXq1vaZiz7PdbfojpPjW5,Fighter,Christina Aguilera,Stripped,1,4,245960,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:59ZTxQo8rBycIXPLUIKvE2,Dirrty,"Christina Aguilera, Redman",Stripped,1,16,298853,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:1tSOf7kzZ1rdYXEuk25kQW,Real Love,"Clean Bandit, Jess Glynne",New Eyes,1,1,219691,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:7kMfu3KUydmrFVGEAhjtyl,Good Girls Go Bad (feat. Leighton Meester),"Cobra Starship, Leighton Meester",Hot Mess (Explicit),1,3,196413,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:0FDzzruyVECATHXKHFs9eJ,A Sky Full of Stars,Coldplay,Ghost Stories,1,8,268466,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:6nek1Nin9q48AVZcWs9e9D,Paradise,Coldplay,Mylo Xyloto,1,3,278719,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:285HeuLxsngjFn4GGegGNm,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta, Nicki Minaj, Bebe Rexha, Afrojack",Listen (Deluxe),1,10,192560,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:53Y0kdCa1CZ9gRqEuknfwy,Bang My Head (feat. Sia & Fetty Wap),"David Guetta, Fetty Wap, Sia",Listen Again,1,15,193333,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:3djPwpsQAnp8B8gC81e7fk,Where Them Girls At (feat. Nicki Minaj & Flo Rida),"David Guetta, Flo Rida, Nicki Minaj",Nothing But The Beat,1,1,210080,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:0zlD8JjDsFUUmofqPE83Cj,Turn Me On (feat. Nicki Minaj) - feat. Nicki Minaj,"David Guetta, Nicki Minaj",Nothing But The Beat,1,3,199689,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:77TT8Xvx637TpzV8kKGkUw,Titanium (feat. Sia) - feat. Sia,"David Guetta, Sia",Nothing But The Beat,1,13,245040,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:6pL7puHxh1psrLzrAlobxQ,Sexy Bitch (feat. Akon) - feat. Akon,"David Guetta, Akon",One More Love,1,1,195853,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:46NBoIAHrmR7qcUGCIFEjR,This One's For You (feat. Zara Larsson) - Official Song UEFA EURO 2016,"David Guetta, Zara Larsson",This One's For You (feat. Zara Larsson) [Official Song UEFA EURO 2016],1,1,207272,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:6YwLgicpvVuMt1eE2OldwQ,Five More Hours - Deorro x Chris Brown,"Deorro, Chris Brown",Five More Hours (Deorro x Chris Brown),1,1,211975,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:1BltsyC5W3SAABdxyrDXwi,Latch,"Disclosure, Sam Smith",Settle,1,3,255631,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,"DJ Snake, Justin Bieber",Encore,1,13,205946,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:67awxiNHNyjMXhVgsHuIrs,Turn Down for What,"DJ Snake, Lil Jon",Turn Down for What,1,1,213733,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:11hqMWwX7sF3sOGdtijofF,One Dance,"Drake, WizKid, Kyla",One Dance,1,1,173974,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:13P5rwmk2EsoFRIz9UCeh9,Cool Kids,Echosmith,Talking Dreams (Deluxe Version),1,3,237626,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:6K8qKeWo5MsFED7wCR6Kop,Sing,Ed Sheeran,x (Deluxe Edition),1,3,235382,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:34gCuhDGsG4bRPIf9bb02f,Thinking Out Loud,Ed Sheeran,x (Deluxe Edition),1,11,281560,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:4nS1sut0R2mgmFitKIShVe,On My Mind,Ellie Goulding,Delirium (Deluxe),1,5,213445,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:7y2YUIyCuVhBidENVT0068,"Love Me Like You Do - From Fifty Shades Of Grey""""",Ellie Goulding,"Love Me Like You Do (From Fifty Shades Of Grey"")""",1,1,252538,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:1Xsxp1SEOxuMzjrFZhtw8u,Next to Me,Emeli SandÃ©,Our Version of Events,1,11,196866,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:48RrDBpOSSl1aLVCalGl5C,The Monster,"Eminem, Rihanna",The Marshall Mathers LP2,1,12,250188,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:15JINEqzVMv3SvJTAXAKED,Love The Way You Lie,"Eminem, Rihanna",Recovery,1,15,263373,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:3rDFqo8yv93PtTmdOYOPzX,Tonight (I'm Fuckin' You),"Enrique Iglesias, Ludacris, DJ Frank E",Tonight (I'm Fuckin' You),1,1,231653,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,Sweet Dreams (Are Made Of This),1,6,216933,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:41Fflg7qHiVOD6dEPvsCzO,Worth It,"Fifth Harmony, Kid Ink",Reflection (Deluxe),1,4,224573,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:20dJUFrfY0TBZ7HHhJgjsg,Sax,Fleur East,Sax,1,1,236440,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:0xcl9XT60Siji6CSG4y6nb,Club Can't Handle Me (feat. David Guetta) - Feat. David Guetta,"Flo Rida, David Guetta",Club Can't Handle Me,1,1,232615,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:0j2O6RH0weEh6i3YFBqfuo,Dirty Mind (feat. Sam Martin),"Flo Rida, Sam Martin",Dirty Mind (feat. Sam Martin),1,1,183993,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:6N9ZOtguCnnrvwH7zD82WJ,GDFR (feat. Sage The Gemini & Lookas),"Flo Rida, Lookas, Sage The Gemini",GDFR (feat. Sage The Gemini & Lookas),1,1,190185,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:3NcO4jGK1Opb5ea0mYLpxb,Good Feeling,Flo Rida,Good Feeling,1,1,248133,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:57ObB6koJ1TeqoIDeq27gl,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","Flo Rida, Verdine White, Robin Thicke","I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",1,1,224258,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:6Knv6wdA0luoMUuuoYi2i1,My House,Flo Rida,MY HOUSE,1,2,192190,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:3GpbwCm3YxiWDvy29Uo3vP,Right Round - US,Flo Rida,R.O.O.T.S. (Route Of Overcoming The Struggle),1,5,204640,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:0ltBH1JNzSvQJPjJpvTu9B,Whistle,Flo Rida,Whistle,1,1,225000,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:1NpW5kyvO4XrNJ3rnfcNy3,Wild Ones (feat. Sia),"Flo Rida, Sia",Wild Ones,1,2,232946,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:4bZd0nRuX8HyjeXAUBczvm,I Cry,Flo Rida,Wild Ones,1,8,223800,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:217xrcrbBtgJhvlHicxTSH,Say It (feat. Tove Lo),"Flume, Tove Lo",Say It,1,1,262521,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:5fVZC9GiM4e8vu99W0Xf6J,How to Save a Life,The Fray,How To Save A Life,1,3,262533,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:4qH3RkbFgzxYyXUD8YC8kr,Capsize,"FRENSHIP, Emily Warren",Capsize,1,1,237580,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:7a86XRg84qjasly9f6bPSD,We Are Young (feat. Janelle MonÃ¡e) - feat. Janelle Monae,"fun., Janelle MonÃ¡e",Some Nights (Spotify Exclusive),1,3,250626,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:7gpy7sfWPNuOKmUNs3XQYE,Carry On,fun.,Some Nights (Spotify Exclusive),1,4,278373,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:0KMYgSe9JWHloFeEVBU6qq,"Me, Myself & I","G-Eazy, Bebe Rexha","Me, Myself & I",1,1,252141,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:6vrUTGn5p8IrfTZ0J6sIVM,Iris,The Goo Goo Dolls,Greatest Hits Volume One - The Singles,1,14,289906,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:4hkAO5HepzonUEJkXUT6e5,Hold Each Other,"A Great Big World, Futuristic",Hold Each Other,1,1,217884,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:4Y6IdA3e4wwLrbKHDjufaC,Love Myself,Hailee Steinfeld,HAIZ,1,1,218773,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:6Xs7OKt6i0Ddq8B4M5Dgvr,New Americana,Halsey,BADLANDS,1,3,183808,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:1TnUURhehaoMWKAqQtirm6,Colors,Halsey,BADLANDS,1,6,249499,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:4U38hORPx8SsUAXGumsUYN,Hold Me Down,Halsey,BADLANDS (Deluxe),1,2,204785,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:4FqMPJlvfY5Nfo3gRKcNxl,Colors,Halsey,BADLANDS (Deluxe),1,8,249499,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:4G8gkOterJn0Ywt6uhqbhp,Radioactive,Imagine Dragons,Night Visions,1,1,186813,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:6BtmXhTJMM9sBTHeYYASGz,It's Time,Imagine Dragons,Night Visions,1,3,237986,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:3LlAyCYU26dvFZBDUIMb7a,Demons,Imagine Dragons,Night Visions,1,4,175200,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:6KuHjfXHkfnIjdmcIvt9r0,On Top Of The World,Imagine Dragons,Night Visions (Deluxe),1,5,189840,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:66hayvUbTotekKU3H4ta1f,Where Are Ãœ Now (with Justin Bieber),"Skrillex, Diplo, Justin Bieber",Skrillex and Diplo present Jack Ãœ,1,9,250285,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:08uGhvS5MfBk7crUCpnjva,Blame It,"Jamie Foxx, T-Pain",Intuition,1,5,289746,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:3EofjRgUI1WrzqqtLb8NoF,Cheyenne,Jason Derulo,Everything Is 4,1,2,215107,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:4tg1G3X26wDTmQbipgxhp5,Try Me (feat. Jennifer Lopez & Matoma),"Jason Derulo, Jennifer Lopez, Matoma",Everything Is 4,1,8,200240,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:5YHR8wBR5jXfGtP766NiAT,If It Ain't Love,Jason Derulo,If It Ain't Love,1,1,203105,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:0TyOpxlWwDx98bjkIVHUgY,In My Head,Jason Derulo,Jason Derulo (Deluxe Audio),1,3,199026,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:6g6A7qNhTfUgOSH7ROOxTD,Talk Dirty (feat. 2 Chainz),"Jason Derulo, 2 Chainz",Talk Dirty,1,1,177685,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:5FljCWR0cys07PQ9277GTz,The Other Side,Jason Derulo,Talk Dirty,1,8,226986,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:7LP4Es66zdY7CyjepqmvAg,Down,"Jay Sean, Lil Wayne",All Or Nothing,1,3,212106,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:2hgzdQdnfWwtdpZbhZlV72,Ain't Your Mama,Jennifer Lopez,Ain't Your Mama,1,1,218234,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:4d2hD63oUGU3s7L66JD0BE,Dance Again,"Jennifer Lopez, Pitbull",Dance Again...The Hits,1,1,237266,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:0VoH8AGgoJ20DmTeEEOBAU,Papi,Jennifer Lopez,LOVE?,1,6,223493,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:3Ev29Sj0ca0TD11oE8N0Bc,Let's Get Loud,Jennifer Lopez,On The 6,1,5,239400,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:7Hv89f7Dpm5Hce1XkBbjQZ,On The Floor,"Jennifer Lopez, Pitbull",On The Floor,1,1,230906,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:5mvKuE9Lf9ARVXVXA32kK9,Price Tag,"Jessie J, B.o.B",Who You Are (Platinum Edition),1,1,223053,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:3cNjgVBKTJ1SvKhunrCdVy,Please Don't Go,Joel Adams,Please Don't Go,1,1,210580,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,Love In The Future,1,6,269560,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:2mCF8L0brIs88eH6Kf2h9p,Fast Car,"Jonas Blue, Dakota",Fast Car,1,1,212424,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:519tXYJVcrpEMqV2BMbh6E,No Air,"Jordin Sparks, Chris Brown",Jordin Sparks,1,3,264373,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:0SJPThTy7ynySPF4euczx7,Work from Home,"Fifth Harmony, Ty Dolla $ign",Work from Home,1,1,216575,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:0SNIAtRCPVVLoGEPcuHSIc,I'll Show You,Justin Bieber,Purpose (Deluxe),1,2,199946,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:50kpGaPAhYJ3sGmk6vplg0,Love Yourself,Justin Bieber,Purpose (Deluxe),1,5,233720,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:61uyGDPJ06MkxJtHgPmuyO,Company,Justin Bieber,Purpose (Deluxe),1,6,208120,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:2JZKXgq5zsokN01KWyiY6n,Mirrors,Justin Timberlake,The 20/20 Experience,1,9,484146,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's TROLLS"")""",Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's TROLLS"")""",1,1,236001,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:3pD0f7hSJg2XdQ6udw5Tey,What Goes Around.../...Comes Around (Interlude),Justin Timberlake,FutureSex/LoveSounds,1,6,448573,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:7Lf7oSEVdzZqTA0kEDSlS5,Cry Me a River,Justin Timberlake,Justified,1,5,288333,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:1AWQoqb9bSvzTjaLralEkT,Rock Your Body,Justin Timberlake,Justified,1,6,267266,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:1JmPASoql4lnXimD5ICqRP,Not a Bad Thing,Justin Timberlake,Not a Bad Thing,1,1,266294,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:4mQVHEjrnuUd7G5IVhSYTk,Suit & Tie (feat. JAY Z) - [Radio Edit],"Justin Timberlake, JAY Z",Suit & Tie (feat. JAY Z) [Radio Edit],1,1,269146,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:6C7RJEIUDqKkJRZVWdkfkH,Stronger,Kanye West,Graduation,1,3,311866,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:3U1TuSqHIubBA10cVP7Sk6,I Think I'm In Love,Kat Dahlia,My Garden,1,5,202666,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:55qBw1900pZKfXJ6Q9A2Lc,Teenage Dream,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,1,1,227760,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:455AfCsOhhLPRc68sE01D8,Last Friday Night (T.G.I.F.),Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,1,2,230746,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:6tS3XVuOyu10897O3ae7bi,California Gurls - feat. Snoop Dogg,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,1,3,234653,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:4lCv7b86sLynZbXhfScfm2,Firework,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,1,4,227880,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:3oL3XRtkP1WVbMxf7dtTdu,The One That Got Away,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,1,7,227333,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:1nZzRJbFvCEct3uzu04ZoL,Part Of Me,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,1,14,216160,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:5JLv62qFIS1DR3zGEcApRt,Wide Awake,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,1,15,220946,spotify:user:androike90,2016-09-12T14:54:48Z
spotify:track:6eQbRfp5DxLSOL5pGozYf1,Walking On Air,Katy Perry,PRISM,1,4,222448,spotify:user:androike90,2016-09-12T14:54:48Z
